clean_review,sentiment
pizza hut vari bad broall pablik pizzz not send pizz hat oder vari vari bad test,Negative
i placed a complete different order and received complete different items not fair !!!!!! worst placements,Positive
so bad,Negative
their was a hair in my order horrible didn't expect this from pizza hut...,Negative
"worst pizza everno cheese , no taste just poured some liquid cheese which was pathetic n too salty",Negative
only cool pizza no socsh,Positive
1 corn pizza is missing in only vetted 3 pizza out of 4,Negative
quality not much good and quantity  are less ,Negative
was not that good,Negative
nice ,Positive
there is no ketchup,Negative
really horrible horrible....i couldn't even eat ,Negative
i can't receive the dip....very bad,Negative
only 2 chili flakes send by you and not provided origon masala with pizza...and if possible please provide 3-4 tomato sauce pauch with pizza,Positive
there were no ketchup how to eat...dry pizza can't consume ,Negative
good ,Positive
the phone number was not working to edit the instructions,Positive
"do complete care of the order and send to customer very properly,outlet was not even having the oragano,very disappointing,moving out to eat something great as today's experience was hilarious and can't even trust more service of zomato",Positive
had given very very very very less chilli flakes and no oregano at all very dissapointed,Negative
please provide catch up also i am giving 3 star because of taste.,Positive
very bad experience,Negative
the order we rcd was very very cold and very very late,Neutral
there was no oregano sachets,Negative
soft pizza bread. enjoyed weekending.,Positive
good test,Positive
it was nice but was not as good ,Negative
dont buy pizza from pizza hut horrible pizza restuarant.,Negative
very nice dilivery boy and nice work ,Positive
the pizza was horrible the bread was stale could not eat the pizza stop making such bad pizzas,Negative
cheesy baked momos is very bad test and very tangy ,Negative
quality food,Neutral
packing was so dumb it was unsealed and so unhealthy and unhygienic ,Negative
pizza hut is wrost never order it and after ordering it i got another order and even after that there is not any issue…….,Neutral
,Neutral
pepsi not available why?,Neutral
worst just wasted my money,Negative
everytime good experience this time it's was not good it's money waste ,Positive
"what is this..that's not even half a plate, ",Neutral
kitna oily tha ,Neutral
great,Positive
great,Positive
not good not bad,Negative
nice ,Positive
total careless restaurant not following order given by the customer please do not give further order for this restaurant,Negative
paav kio nhi bheja,Neutral
no paper dish,Negative
noodles is very spicy can't to eat it... and chilli paneer was small bad i don't have it,Negative
"worst taste, rice is burnt .after several calls restro didn't attended calls, no reply.wouldn't recommend someone for this restro.",Negative
excellent ,Positive
nice man ,Positive
please send full order then say how’s taste,Positive
thank you for corporation ,Positive
not good,Negative
very nice ,Positive
mouth watering food ,Neutral
excellent food ,Positive
delicious dish,Positive
"very bad taste taste less saltless ,they don't even accept food instructions, no cutlery and very costly ",Negative
osum test,Neutral
spoon nahi diya hai  order k sath spoon dena cahiye  ,Neutral
taste is very bad,Negative
,Neutral
send cutlery in future for convenience outdoor eating ,Neutral
not fresh,Negative
awesome test ,Positive
full tasty paw vaji...,Neutral
good taste good service thanks for accepting free soup ,Positive
not yummy not test full,Negative
machaow soup didn't send,Neutral
nice,Positive
exilent ,Neutral
hhh,Neutral
exlinat deliver boy,Neutral
not satisfied with  customer service ,Negative
bad food ,Negative
please follow customer's instructions properly. i have asked to not to make anything spicy but you guys made it too spicy.,Positive
perfect ,Positive
supb,Neutral
worthless,Negative
i have ordered grill cheese sandwich and there is no cheese ,Negative
good fast best,Positive
i have received wrong parcel total fraud with me,Negative
horrible… don’t ruin your name by giving this types of food,Negative
bakavash,Neutral
want to return it,Positive
i never expected they will send maked dosa,Neutral
delivery boy was very kind ,Positive
very smelly pav bhaji,Neutral
finger licking delicious as alwaysss !,Positive
good ,Positive
order delivery before time.tks,Neutral
bhai ishse ghatiya kuchh nahi khaya aaj tak,Neutral
ok,Positive
not taeste,Neutral
don’t send cutlery,Neutral
very good savis,Positive
please follow the customer's instructions properly.,Positive
best peking on food ,Positive
masala pav is not came in order so please next time take care for that,Positive
the mysore masala sabji was just so bad in taste it smells and tastes like shit,Negative
delicious food ,Positive
good service ,Positive
worst pulao ever,Negative
spoon not available,Neutral
delivery boy good anf helpfull and very good beheviar.. i like her talking way and service.,Positive
 spoon nhi tha yahi hai busswrna or sab msttt,Neutral
masala pav aaya hai nay tu kisa star do,Neutral
food was spicy,Neutral
late dilivery and food boht bakvas tha never order from this restaurant,Neutral
very bad food deleverd. ,Negative
"after ravi has gone, the taste is going bad to… we are ravi’s school friends… so we know the taste which was before…. now it is really going worst…",Negative
thanks. great food. love that you are take in account customer notes for food. will order in future. cheers!,Positive
good,Positive
everything was good just a suggestion to please keep spoons and tissues as well ,Positive
so late delivery,Neutral
good ,Positive
good,Positive
plz read instruction ,Positive
bhaji need to supply in containers...stop in plastic bag,Neutral
it is like rubber. hard to chew... this is first time i am having a sandwich like this,Positive
they don't cancel order,Positive
yummy....too good as usevl,Positive
i have ordered cold coffee and they delivered thik shake,Negative
6 bola tha fir bi only 1 pc ,Neutral
superb,Positive
it's peanuts shake. other flavours are far much better.,Positive
size of both item is very less ,Neutral
your delivery is best but within 1 km range 70 rupees item turns 105 rupees is too much,Positive
sugar  ,Neutral
very nice,Positive
totally stale food.,Neutral
tasty ,Neutral
good ,Positive
taste is so good.. ,Neutral
जादा ठिक नही था,Neutral
अच्छा नही था,Neutral
bad,Negative
osm delivery ,Neutral
good,Positive
not good quality not good test,Negative
very laziz ,Neutral
best service by the delivery boy,Positive
pizza packing &amp; test is desi. coco excellent,Positive
good,Positive
okk,Neutral
nice,Positive
super ,Positive
no,Negative
good one ,Positive
,Neutral
it was okaybeverage is not what i ordered and tastes really sweet,Positive
test good,Positive
not garam,Neutral
જય સ્વામિનારાયણબહુ સરસ કોલ્ડ કોકો ક્વોલિટી બહુ સારી આભાર ,Neutral
ordered with so much craze but highly disappointed,Negative
find,Neutral
very fast delivery thanks zomato,Positive
good ,Positive
delivery is too slow by zomato,Neutral
i have ordered rajbhog thick shake with extra cashew. thay not extra cashew. and refuse to charge which i pay for extra cashew. also zomato not help me. very bad experience with mahalaxmi fast food and zomato. i tell my all friends not to use zomato and not order to mahalaxmi fast food. many other option we can. ,Negative
superb food best quality ,Positive
give me my money back for which i have paid and item was missed in parcel in last order to gangour udhna,Negative
not good ,Negative
!,Neutral
food was really nice - there were no chillies we enjoyed it ,Positive
good service ,Positive
late delivery,Neutral
i don’t usually write reviews but i was compelled to write one due to the awesome tasting food with great packaging and on time delivery! really happy with the quantity of food too. highly recommended!!!! ,Positive
bad behaviyar,Negative
sent less number of breads this time. i will never give order again to gangor ,Positive
very cold that and loss item,Negative
price is very extra,Neutral
food was so yumm,Neutral
too gud,Neutral
hot and spice amazing,Positive
good ,Positive
when u prepair n send the parcel to coustomer pls check wat r u sending,Positive
poor quality,Negative
i puked after having it. ,Negative
good     ,Positive
not bad ,Positive
fantastic,Positive
test is best,Positive
good,Positive
not as expected,Neutral
nice,Positive
always good,Positive
very bad deliveryi have mentioned not to ring bell delivery boy has ring the bell which is very bad,Negative
exta kaju ka 40 piya lekin 10 rupey ke bheje makkhi chush,Neutral
not happy with my order and your service.. ,Negative
the deliver guy didn't knock and opened the door directly,Neutral
"taste and quality pehle jesa nhi,",Neutral
good,Positive
tast is better &amp; service is very satisfied,Positive
so small,Neutral
thats diffrent from pic,Neutral
fast delivery,Neutral
many wested bismillah is rongamul /s chcho chips super many 120 rsparty pack 750 ml,Positive
too much sugar. jjnnnnnnndnxbdhdbdbhdhfbhfhdhdhhdhdhh,Neutral
superb ,Positive
"lots of cream instead of kaju anjeer, kaju and anjeer thick shake taste was ok and bcz of pieces thick cream it was not giving proper taste.try to add more kaju and anjeer instead of cream",Negative
nice,Positive
good,Positive
osm quality,Neutral
the delivery was made before time.thanks,Neutral
the delivery executive was fabulous ,Positive
good ,Positive
wow,Positive
delivery service very bad,Negative
supar sarve,Neutral
this was my condition of parcel,Neutral
nice ,Positive
wow,Positive
quantity was less then appear in order ...so i dnt think so much to prefer bismillah,Neutral
your thick shake was like a milk shake.doesn't like it.,Positive
nice,Positive
good job,Positive
thx ,Positive
received both items melted and sitafal was spoilt. can't consumed... zomato is not ready to take any responsibility for the same..i believe they already know service of bismilah still they have allowed them to serve us worst desert... totally waste of money.. big failure of zomato as well as restaurant..,Negative
taste like hell. too bad very bad not good quality,Negative
sab ghuli thi abhi kya kare ek dam bekar item nikla,Neutral
not quality very late delivery not certified please service,Negative
not good..seems to be plain vanilla ice cream with just a little amount of cookies..more of just whipped cream..,Neutral
food quantity was lace cause of scheme schedule otherwise u can enjoy more quantity on live at shop,Positive
i m buying from bismillah only every time but this time taste is very bad they are giving old or expiry thick shake,Negative
bht bekar taste hai kabhi order ni krna...paisa barbaad ,Neutral
want to talk with team asap,Positive
great,Positive
it's has test of garlic ,Neutral
the taste was soo good and spicy just how i like my food,Positive
teat saro hato.pan sandwich  pochi thai gayi hati tena karane maza nai aavi,Neutral
sandwich ka taste bhi accha nhi tha or 2-3 baal nikle,Neutral
good ,Positive
taste was very bad,Negative
only kobiz and tometo but not testyand very hard bredwest mony ,Positive
very nice ,Positive
its awesome packing ,Positive
taste not good...half cooked ,Neutral
again like last time a new issu food item were totally tasteless,Positive
nice,Positive
બાદ,Neutral
very test full and quentatiy item,Neutral
better ,Positive
very very very very nice food ,Positive
yaami,Neutral
the food was totaly bad in  taste… fried rice to pura jal gya hua tha bekar tha… can’t recommend to any one,Negative
good,Positive
osm test,Neutral
food is very very bed chiter this shop don't oder in this shope vest money ,Neutral
charging 95 for cheese sandwich and where is the cheese ? fooling customer don’t order,Negative
great,Positive
very low chesse like only vegetable plain sandwich restaurant take rate full and not give item quality,Positive
the restaurant service is not good and does not support.,Negative
bed quality of chapati and all item,Neutral
not good,Negative
not good food very bad taste,Negative
"it was good, only need to work on roties ",Positive
not good ,Negative
okok,Neutral
good food,Positive
good ,Positive
bed food,Neutral
yaha se khana mat order kariyetotal waste of money.itni gathiya quality ki chapati mene kabhi nahi dekh.kachha lot he aate ka.sabzi bhi puri ki puri dry he.kisi ko mar na he to yaha se sokh se khana mangvaye.,Negative
"very bad service roti delivered only 4 pcs and out of 10,  rice full provide sabji less delivered, packing not properly.",Negative
"chappatis are not properly baked. i swear, they are 99% raw. what the restaurant wants to do with customer, make them vomit?even a dog deserves better food then this. shame on you, same on your morals",Negative
good ,Positive
good food,Positive
all food are partially prepared... waste of money...,Negative
good food and good service,Positive
quality and quantity is enough one person ,Neutral
good,Positive
mils no good quality very much oily food quality is not good,Positive
test good but service is not good ,Positive
clining not clear ,Negative
i don't like this type of food ,Negative
don't like it ,Negative
good ,Positive
packing,Neutral
rote very small saiz,Neutral
super ,Positive
zometo n chandan bhojnalaya chit with me... ,Neutral
bekar  khana  roti was uncooked not propely cooked ..sara khana  waste huaa..and mera money bhi waste huaa..i want to full refund....plastic was banned in india..why this restaurant using plastics for food packaging...give me proper ans  for this...i'll wating for your reply,Negative
very good ,Positive
"rice not well cooked , its seem like kachcha ",Positive
good ,Positive
this food may hurt our health... please refund my money.,Negative
or pehle to roti aati thi abhi q puri hi aati he.,Neutral
worsttttt,Neutral
good ,Positive
good ,Positive
best,Positive
कतई बकचोद ,Neutral
very good ,Positive
good food,Positive
good ,Positive
3class quality,Neutral
not good,Negative
bad experience 2nd time ,Negative
they didn't send cutlary and roti.,Neutral
make less qty and good quality food.,Positive
please improve your sabzi,Positive
not good package. ordered dibba thali(box packing). but order delivered in single single box and loose plastic bags ,Negative
delevary boy is not uniform and very bad behaviour ,Negative
test bakwas tha,Neutral
"food was okay but when i receive it ,it was cold but overall it is very good ",Positive
good service for delivery person ,Positive
burger was cold and sweet and they didn't gave ketchup. disappointing .,Positive
bargar thanda ho chuka tha ,Neutral
excellent,Positive
test of best ,Positive
/thanx for delevery my order ,Neutral
good ,Positive
it's osume taste and delivery is in less time so thank you ,Positive
took an hour to deliver cold burgers ,Neutral
sezwan ketchup is very little applied. only name is sezwan burgers. no sezwan test in burger ,Negative
good ,Positive
some vaggis,Neutral
exeelent,Neutral
excellent ,Positive
normal berger rate high size is small ,Neutral
nice bro ok,Positive
good ,Positive
bhut hi bekar sawad tha  ,Neutral
good,Positive
delivery is so slowly ,Neutral
ok ok ,Positive
hii,Neutral
plz dhayan de pese le rahe ho to wesa bana ke bhi do,Positive
worst food,Negative
to good,Positive
received damaged food,Negative
worst experience first delivery late and second 70 ruppes ka burger he lutere..nobody buy from ajay... faltu food,Negative
not hit baav bed quality ,Neutral
best service and good taste ,Positive
delayed and cold,Negative
good job,Positive
ketchup is less ,Neutral
super fantastic ,Positive
super fantastic ,Positive
very good service,Positive
amazing,Positive
the aize could be bigger for the price,Neutral
good guy,Positive
they didn't send the sauce,Neutral
let deliver,Neutral
"thanks u , delivery in time .",Positive
reasonable prices,Neutral
nic,Neutral
they don't provide me spoons ,Neutral
good,Positive
good ,Positive
goood,Neutral
love d it,Positive
all is good,Positive
please send order as per mentioned in order book,Positive
both dishes delicious...,Neutral
thank you ,Positive
late delivery ,Neutral
first of all the restaurant look is verry beautiful and food is verry tasty daining was verry comfortable for us. servise was verry clerly done by prahlad the steward every thing is good but one lack i found from the caption  verry mutch attitude and he has to be improve their way of speaking rowadey language. give respect to every one this was my first time visite i love your food,Positive
delivery timing is good &amp; food is very swadist,Positive
nice,Positive
no trest forood on dinner no paking good no test h,Negative
nice ,Positive
worst service,Negative
bad test ,Negative
ggooood,Neutral
low quantity ,Negative
very bad service,Negative
delivery boy is very good ,Positive
good,Positive
very nice food,Positive
gu,Neutral
very fast delivery ,Neutral
veg kadi is spicy,Neutral
they have not provided glass for cold coffee and no spoon for eating of biryani very ridiculous,Negative
very nice ,Positive
paner only 4 money vest karna hai paneer ni deta sahi grevi bhar deta hai poor quality.,Negative
very quick service,Neutral
taste is excellent and food was hygienic but one food is always very spicy,Positive
i dont want to eat this.,Negative
only gravy no manchurian,Negative
delicious,Positive
good ,Positive
i need refund,Neutral
anil bhai good job . perfectly time . ,Positive
i expect better but it's okk taste is good ,Positive
had a bad smell in chinese bhel,Negative
"poor test not proper packing no fresh selad its poor like quality is not great, perfect quality, not looking good.  test is not good and sent without packing.",Negative
some thing wrong with this dish..smell like taste as a medicine water used,Negative
good ,Positive
naam bade darshan chhote ,Neutral
good ,Positive
good ,Positive
nic,Neutral
veg. crispy to sweet &amp; crispy like manchurian,Positive
good ,Positive
yuuummmeeeee....,Neutral
excellent,Positive
service very fast ,Neutral
cutlery dont sent by restaurant......,Neutral
good food,Positive
good good,Positive
i have asked for fry noodles they told to give 10 rs extra  my bill value almost 1000+,Positive
not so good as compared,Negative
swit thi bekar,Neutral
best place to devour chinese food. panner recipes are top notch. great service as always. consistency with quality.,Positive
"@ hotelier sent an ordered food only, it's a very bad blunder mistake. ",Negative
"when eat at your place it's look and taste delicious, bt whenever we made online order always it's bad taste and also not looking better.",Negative
fantastic food ,Positive
cabbage salad not include ,Neutral
took 1 hour instead of 37 mins approx delivery time quoted at the time of order. ,Neutral
yume test,Neutral
provided item both are luze packaging and both are not hot. kindly using tin packing in future for item hot purpose many restaurants using packaging tin.,Negative
very testy ,Neutral
zero spicy bola thafir bhi spicy noodles bhej diya,Neutral
very bad experience..,Negative
bekar bilkul khana no test bilkul,Negative
very good,Positive
solt over use ,Neutral
i am order biriyani and recived pulav,Neutral
i always add cutlary in my order and i never got cutlary in my order. and when call up yo the owner he said he is out of station what a horrible response to the customer.,Negative
super,Positive
very bed experience ,Neutral
please value of our money ,Positive
bakvas khana tha,Neutral
no good ,Positive
very fast delivery ,Neutral
lo koleti ka food making ,Neutral
very nice ,Positive
too spicy and tasteless,Neutral
nice thali but one vegetable bad test ,Negative
food is good only the thing is some times buttermilk polythene has leakage,Positive
aise bhejna tha to menyu me kyun dusra dikhate ho,Neutral
never eat stale food to call it useless... the whole test is useless...never ate stale food to call it useless... the whole test is useless... in my life i have never eaten more useless food than this.....,Positive
good,Positive
bekar,Neutral
more spicy. taste is not good.waste of money.not recommended to anyone.,Positive
very bad missing 2 items ,Negative
i had to be admitted to the hospital because i had a bad stomach,Negative
not gullab jamun and no test,Negative
"no one should eat such dirty vegetables even for free, was given full water, and then wasted money.  didn't expect this from zomato, had to throw away all the food",Negative
pathetic service first late order received and secand ko salt in any paratha,Negative
thank you ,Positive
good ,Positive
kitna ganda khana dety ho mahek rha tha ,Neutral
as mentioned in instruction also again sent dal in foil bag in small quantity as complaint in last order and neither got pickle and onion in pannier combo.,Negative
ekdam ghatia taste.,Neutral
cooking instructions were accepted but not considered.,Positive
never order aging   full waste money  ,Negative
fantastic,Positive
quality very poor. ,Negative
worst dal makhani i have ever had.it looks like sabji.,Negative
nice ,Positive
sari sabji basi thi rice half bowl bhi nhi tha roti bhi jali thi. test bhi bekar tha. fully unsatisfied with this hotel no test or very high rate,Negative
worst food,Negative
qwantity very less packing like street food biryani,Positive
good ,Positive
very bad survey,Negative
test is ok ok not best ,Positive
not good.. worst,Positive
ghatiya thali hairoti bhi thanda haisabzi bhi bakwas haihalka halka vas bhi kar raha hai0 star ke like bhi nhi hai,Positive
"we order regularly from sugar n spice, have been customers for a long time. this was definitely not from sugar n spice. it was like the food from a road side place",Positive
packing was worst and taste was not good as we go for dining in the same restuarant.,Negative
very bad taste,Negative
there is a no onion and pickel inside this parsal,Negative
please serve good food,Positive
this was not from sugar n spice it was brought from somewhere else waste of our money because the taste was not of sugar n spice also no name on box nor any bill,Negative
no butter roti givenrice and  hakka noodles with give onion i call after given order so why with give onion,Negative
fabulous test ,Positive
good,Positive
they add milk in icecream and sell as milkshakerubbish,Neutral
tasty ,Neutral
ok okay,Positive
falooda with fried noodles no tuk mariyal in it.,Negative
good,Positive
it was good i liked the taste but chocolate chips i added the quantity was less,Positive
it's yummy ,Positive
parcel containers not good... please use disposal cups,Negative
good delivery boy ,Positive
west my money ,Neutral
it is not nutella,Neutral
sugar is more than required,Neutral
good,Positive
this is badam milk shake not good worry ,Negative
do not go with this restaurant. i ordered 2 items. and both are not fresh.,Negative
food was nice and also delivery service was fast,Positive
bhot bekar bhai plz jo bhi bismilla shmaj k manga rha ho wo nahi mangaye iska test bhot khrab h muje to sab fek dena pada ,Positive
inset of thick shake milk shake is coming,Negative
test is not more testy ,Neutral
wery nice fast三 delivered,Positive
good,Positive
very good ,Positive
pura pani ho gaya tha,Neutral
good,Positive
regret,Negative
roasted almond thickshake fully melted not at satisfied ...i want my money refund i throwed away in dustbin  or else giv us credit in my next order ...,Positive
awesome ,Positive
wow very fast delivery,Positive
average ice cream can say prefer going with the big names and get quality products rather than selecting the new ones.,Neutral
"anhhhhh was really good btw, little melted but can’t blame anybody therehey it’s ice cream right ",Negative
how careless !!!,Negative
and that also very late,Neutral
faluda name faltu faluda,Neutral
maine jo food manga tha vah thick shake tha aur delivering milne tak vah mil se kho gaya,Negative
excellent ,Positive
thank you,Positive
too much masala and the rice tasted weird,Negative
good service ,Positive
these people just dont want to read the cooking instructions… i clearly mentioned not to add beetroot but still they added lot of beetroot i had to throw away the food,Positive
quality and quantity is best,Positive
supar fst ,Neutral
"pathetic,  sry to say but very poor quality for the price , not acceptable.. ",Negative
they didn’t put spoon how do someone eat without a spoon,Neutral
thank you for delivering ,Positive
no quality ,Negative
cooking instructions was not followed.,Neutral
test bekar hai ,Neutral
food was fantastic,Positive
nyc taste,Neutral
delicious food ,Positive
jala hua chicken diya,Neutral
i want to just add that the delivery was a little late than expected ,Positive
why are you guys not making food as per instruction….,Neutral
very oily,Neutral
the chicken leg was so bad and stalethe taste was so dirty dont give you customers like this,Negative
bad experience ,Negative
very yummy and tasty food,Positive
only agg added no chicken qty as per price ,Negative
good person ,Positive
very good ,Positive
"order was not sent properly, green chicken was order in boneless but they delivered in bone, very careless and bad, also told to make in less oil but they also don't follow the instructions.",Negative
.,Neutral
,Neutral
hello team zomato we had order special tiranga and we received tandoori leg pice as you seen in photo we attached we want our money of specail tirnaga back as they send us wrong order please do the need full as soon as possible thank you!,Positive
quantity of bheja fry is very less,Neutral
smooth delivery.,Neutral
worest seervice,Neutral
nice wow,Positive
"also when i called restaurant they said bhai aap chala lo, really pathetic experience ",Negative
अदभुत । delicious ,Positive
very good tats,Positive
very bad and no taste..very low quantity and very high price ..bad experince cheap,Negative
no paper dish ,Negative
nice taste ,Positive
chicken me bone less jyada tha... bone wala hona cahiye,Neutral
lassi was missing in the order,Negative
,Neutral
kadi instead of lasaniya bateka,Neutral
tasty food,Neutral
"one item is shorted , churmu is not there",Neutral
"taste was alright, but it was too oily. i am talking big oil patches floating over. unappetizing and unhealthy.",Negative
no onion in the parcel ....the ffood is very cold ...smell is very bad ..,Negative
all items were not hot it was cold. next time think twice to order.,Neutral
the quantity of oil should be proportionate. the veggies were too oily ,Neutral
awesome taste,Positive
very good fast delivery,Positive
good food,Positive
not good ,Negative
"mene gujarati thali mangvai thi, just thodi der pehle, 238 ki thali and chota bachha bhi na kha paye itne kum quantity thi, rice to itna kum tha ki sharm ane lagi, subji me only ek chota potato ka peace tha wo bhi bharpur oil, bhaio ek vinanti hai k aap log reviews dekh k hi order kare.",Positive
midiyam,Neutral
oily tha zyada despite instructions given while meal booking. keep it less.,Neutral
food was very good and tasty.,Positive
not tasty food,Neutral
very very bed quelity food,Neutral
incomplite order chass was missing and charge for it,Negative
good test. appreciate.,Positive
very bad taste and they gave us stale food,Negative
check karke bhejo sir ,Neutral
sweet missing only free sweet send,Positive
worst food.  tasteless and oily.,Negative
good ,Positive
excellent food,Positive
bekar,Neutral
,Neutral
great,Positive
 i order food because of that offer.  but it was not fit to eat.,Negative
taste good but garam nahi tha ,Positive
don,Neutral
best food ,Positive
strange taste,Negative
did not follow instructions,Neutral
excellent ghar jaisa taste,Positive
"food is totally mess up inside the polybag , how could eat such type of food ",Negative
always fresh food,Positive
good food excellent taste ,Positive
corns in sabji is not fresh at all,Negative
overall it was good but for dal we have asked for jain and came regularly please be careful next time.,Positive
worst pannir out dated .never ever visit this type of restaurant. or even don't oder from there ,Negative
not like the original taste of royal dine ,Negative
good,Positive
uttpa pura jala huaasada dosa keasi se bhi nahi kata.veri bad test .west manny .sab fakna pada.pesa west,Negative
i don't like your delivery system fore restaurant...,Negative
feel like old bread,Positive
sambar me salt jyada tha aur dosa toh bohat salted bana diya not good taste ,Negative
best ,Positive
" shambhar, it was like additional salt and lime added.. ",Positive
food was not up to mark  &amp; also restaurant  didn't  sent cutlery &amp; delivery was also delayed so i want to give negative star &amp; please don't register such type of restaurant on your platform . thanks ,Positive
not spuan and not plat,Neutral
cheat on me item are missing i need money back,Negative
not a on time delivery ,Neutral
bekar peking bekar food manny west,Neutral
i already told that send manchurian with 3-4 spoonbut resturant sens food without any spoon.back my money,Neutral
so bad test don't order to this restorent,Negative
i forgot the number of time i ordered from here.every time same taste and quality.,Positive
mast,Neutral
good and humble person ,Positive
testy and healthy ,Positive
the order took more than one hour to reach us,Positive
"they are totaly irresponsible how can any one eat bhaji without pav,they send bhaji but not pav",Negative
i don't like this items ,Negative
oder late food is bad my money back guarantee dijiye please ,Negative
quantity sahi nahi he ,Neutral
not good taste at all it like they just did a basic pepper tadka and while eating the garlic busted in my mouth which makes me spit the food and the vegetables are raw as hell its like eating noodles with just raw veggies and pepper tadka no salt and no taste,Negative
thanks for considering my request of providing separate containers of sambhar-chatni for each dosa,Positive
good ,Positive
didn't follow instructions which i gave,Neutral
thanks ,Positive
good taste ,Positive
testy but quantity poor,Negative
gulab jamun not received,Neutral
not chhachh- gulab jamun not good service,Negative
no test bad quality,Negative
i ordered special deluxe from this outlet..thali was good. amazing service...... keep up the good work always guys... ,Positive
order is not properly and quantity is very lo (cutting),Neutral
dal fry jeera rice must try here.. awesome taste.. delivery service very fast.. highly recommended to everyone ,Positive
yesterday i ordered food.. its was yummy taste.. delivery service very fast.. food was awesome.. highly recommended ,Positive
try kaju butter masala very good taste... very good service.. very tasty and hygenic food... my experience was good  ,Positive
sabji paneer butter masala is very very yummy... wonderful service excellent food with good quality.. nice experience ,Positive
i cant order in future from ur restaurant..,Neutral
there is no spoon and paper plates,Negative
the food quality very bad,Negative
very bad thali ,Negative
very bad quality,Negative
is hotel me koy order mat kar na hotel wale hamko bhikhari samjhte he,Neutral
ekadam bekar khana,Neutral
first and worst experience,Negative
best service,Positive
west of money totally loss food is not fresh,Negative
food is very very cold ,Neutral
nice,Positive
nice,Positive
third class,Neutral
not packing good and not satisfied ,Negative
don't order a plate with 2 pc because you will only get 1 instead of 2 pc,Neutral
बेकार खाना एक दम से,Neutral
roti is plaan and very let dilevari,Neutral
thik,Neutral
khana bheja h ya mazak kiya h,Neutral
paise west poor quality ,Negative
very bad quality of food in this price ,Negative
food if sogy. cold,Neutral
"mix veg subji missing, roti was 3 not 4 it is waste of money.",Positive
total waste money,Negative
food is not proper and quantity is not as per price. food has not any test and some items described like papad and sweets are not given in delivery order.,Positive
khane me kuch bhi thik nahi haikhana bhi thanda hai,Neutral
service not satisfied,Negative
nice ,Positive
not prepared perfect orderi order extra 2rotti.but didn't recieved.,Negative
sabji alag bheja he or aachar (pickle) to aaya hi nahi he test everage packing are without beg only dish hand over ,Positive
paking ke sath beg bhai hona chahiye,Neutral
isse bakvas thaali hamne aaj tak nahi khaee. dal aur sabji baasi mili.,Neutral
found plastic thread in the foodvery poor hygiene ,Negative
packing so bad plz proper packing ,Negative
very good ,Positive
bad taste ,Negative
not bad,Positive
"but ,delivery is very let...",Neutral
nice taste ,Positive
only rice in it .small 4-5 pices chiken only .no meaning of chiken biryani,Negative
ab pehle se bahot hi low quantity  aa rahi hai,Negative
good ,Positive
not proper packing of foodgravy material is send in this type of packing,Neutral
my everytime service please his man,Positive
no chicken in chicken rice,Negative
chicken biryani quality need improvement...,Neutral
instructions me likha tha without gravy uske bad bi gravy bhej diya ,Positive
not good ,Negative
"zomato delivery is not satisfied, order is ready but zomato man is not there at time.",Positive
verey nice food,Positive
please provide fresh &amp; hygiene foods,Positive
nice,Positive
good,Positive
packing was not at all good all oil  spread on other items n my meal was spoiled,Negative
